,EmployessName,Age,Department,MonthlySalary,DateOfJoining,Designation,Email,Status,Manager
0,Alice,26.0,IT,91828.15,2019-01-10,Clerk,alice@example.com,Active,Mike
1,Bob,,Finance,,2017-09-15,,invalid_email,,Sarah
2,Charlie,,HR,9999999.0,,Manager,charlie@example.com,Inactive,John
3,David,41.0,,72011.5,,Engineer,david@example.com,,
4,Eva,29.0,Admin,84763.2,2015-06-23,,invalid_email,Active,
5,Frank,50.0,Sales,64000.0,2017-09-15,Analyst,frank@example.com,,
6,Grace,28.0,IT,9999999.0,2019-01-10,Clerk,grace@example.com,Inactive,Mike
7,Hannah,45.0,HR,54000.0,,Manager,hannah@example.com,,John
8,Ian,,Admin,60000.0,,,invalid_email,,
9,Jane,33.0,,70000.0,2015-06-23,Engineer,jane@example.com,Active,
10,Kevin,,Finance,,2017-09-15,Manager,invalid_email,,Sarah
11,Laura,38.0,IT,48000.0,,Clerk,laura@example.com,,Mike
12,Mike,24.0,Sales,82000.0,2019-01-10,,mike@example.com,Inactive,
13,Nina,55.0,,9999999.0,2015-06-23,Analyst,invalid_email,,
14,Oscar,30.0,Admin,61000.0,,Engineer,oscar@example.com,,
15,Pam,,HR,67000.0,2017-09-15,,pam@example.com,Active,John
16,Quentin,27.0,Finance,77000.0,,Director,quentin@example.com,,Sarah
17,Rachel,,IT,76000.0,2019-01-10,Clerk,invalid_email,,Mike
18,Sam,41.0,Sales,69000.0,,Engineer,sam@example.com,,
19,Tina,33.0,Admin,,2015-06-23,Manager,tina@example.com,Inactive,
20,Uma,,,55000.0,,Director,invalid_email,,
21,Victor,22.0,HR,9999999.0,2017-09-15,,victor@example.com,Active,John
22,Wendy,60.0,IT,73000.0,,Engineer,invalid_email,,Mike
23,Xander,,Finance,80000.0,2019-01-10,,xander@example.com,,Sarah
24,Yvonne,39.0,Sales,67000.0,,Clerk,yvonne@example.com,Inactive,
25,Zack,45.0,Admin,,,Director,zack@example.com,Active,
26,Leo,33.0,HR,,2017-09-15,Manager,invalid_email,,John
27,Mona,27.0,Finance,58000.0,2015-06-23,,mona@example.com,,Sarah
28,Nick,50.0,IT,9999999.0,,Engineer,invalid_email,Inactive,Mike
29,Olive,,Sales,62000.0,,,olive@example.com,,
